block_identifier,type_code,theme_path,title,page_groups,sort_order
em0144-fashion-main-bottom03-banners-slider,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Fashion Store - Main Bottom 03 - Banner Slider","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:11:""page.bottom"";}}}",3
em0144-fashion-before-footer01-links-,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Fashion Store - Footer Area 01 - Links","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""footer.area.1"";}}}",4
em0144-fashion-area-footer-inner-payment,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Fashion Store - Footer Area 2 - Payment","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""footer.area.2"";}}}",0
em0144-fashion-area-main02-home-best-sale,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Fashion Store - Area Main 04 - Home - Best Sale","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",4
em0144-fashion-main-area-main-slideshow,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Fashion Store - Area Main - Slideshow","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",0
em0144-main-megamenu,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Fashion Store - Main Megamenu","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""topNavigation"";}}}",1
em0144-area-staticblock-detailspage-ads,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Area Staic Block - Details Page - Ads","a:1:{i:0;a:2:{s:10:""page_group"";s:12:""all_products"";s:12:""all_products"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:20:""catalog_product_view"";s:5:""block"";s:25:""product_view_block_custom"";}}}",1
em0144-area-size-chart-details,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Area Size Chart - Details - Size Chart","a:1:{i:0;a:2:{s:10:""page_group"";s:12:""all_products"";s:12:""all_products"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:20:""catalog_product_view"";s:5:""block"";s:19:""product.info.social"";}}}",1
em0144-fashion-popup-adsvertising-block,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Fashion Store - Popup Advertising Block","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:18:""popup.static.block"";}}}",1
em0144-fashion-left-menu,cms_static_block,frontend/Emthemes/everything_default,"EM0144 Everything - Fashion - Left Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:12:""sidebar.main"";}}}",1
